,ID,Name,Club,Year,Overall
0,209658,L. Goretzka,FC Schalke 04,2017,81
1,209658,L. Goretzka,FC Schalke 04,2018,83
2,209658,L. Goretzka,FC Bayern München,2019,84
3,209658,L. Goretzka,FC Bayern München,2020,84
4,209658,L. Goretzka,FC Bayern München,2021,84
5,209658,L. Goretzka,FC Bayern München,2022,87
6,209658,L. Goretzka,FC Bayern München,2023,87
7,212198,Bruno Fernandes,Sampdoria,2017,77
8,212198,Bruno Fernandes,Sporting CP,2018,82
9,212198,Bruno Fernandes,Sporting CP,2019,85
10,212198,Bruno Fernandes,Manchester United,2020,86
11,212198,Bruno Fernandes,Manchester United,2021,87
12,212198,Bruno Fernandes,Manchester United,2022,88
13,212198,Bruno Fernandes,Manchester United,2023,86
14,224334,M. Acuña,Racing Club,2017,79
15,224334,M. Acuña,Sporting CP,2018,80
16,224334,M. Acuña,Sporting CP,2019,81
17,224334,M. Acuña,Sporting CP,2020,82
18,224334,M. Acuña,Sevilla FC,2021,83
19,224334,M. Acuña,Sevilla FC,2022,84
20,224334,M. Acuña,Sevilla FC,2023,85
21,192985,K. De Bruyne,Manchester City,2017,88
22,192985,K. De Bruyne,Manchester City,2018,91
23,192985,K. De Bruyne,Manchester City,2019,91
24,192985,K. De Bruyne,Manchester City,2020,91
25,192985,K. De Bruyne,Manchester City,2021,91
26,192985,K. De Bruyne,Manchester City,2022,91
27,192985,K. De Bruyne,Manchester City,2023,91
28,224232,N. Barella,Cagliari,2017,70
29,224232,N. Barella,Cagliari,2018,76
30,224232,N. Barella,Cagliari,2019,79
31,224232,N. Barella,Inter,2020,80
32,224232,N. Barella,Inter,2021,80
33,224232,N. Barella,Inter,2022,84
34,224232,N. Barella,Inter,2023,86
35,212622,J. Kimmich,FC Bayern München,2017,80
36,212622,J. Kimmich,FC Bayern München,2018,84
37,212622,J. Kimmich,FC Bayern München,2019,86
38,212622,J. Kimmich,FC Bayern München,2020,87
39,212622,J. Kimmich,FC Bayern München,2021,88
40,212622,J. Kimmich,FC Bayern München,2022,89
41,212622,J. Kimmich,FC Bayern München,2023,89
42,197445,D. Alaba,FC Bayern München,2017,86
43,197445,D. Alaba,FC Bayern München,2018,85
44,197445,D. Alaba,FC Bayern München,2019,84
45,197445,D. Alaba,FC Bayern München,2020,83
46,197445,D. Alaba,FC Bayern München,2021,84
47,197445,D. Alaba,Real Madrid CF,2022,84
48,197445,D. Alaba,Real Madrid CF,2023,86
49,187961,Paulinho,AS Monaco,2017,81
50,187961,Paulinho,FC Barcelona,2018,83
51,187961,Paulinho,Guangzhou Evergrande Taobao FC,2019,84
52,187961,Paulinho,Guangzhou Evergrande Taobao FC,2020,85
53,187961,Paulinho,Guangzhou Evergrande Taobao FC,2021,83
54,187961,Paulinho,Al Ahli,2022,83
55,187961,Paulinho,Al Ahli,2023,83
56,208333,E. Can,Liverpool,2017,79
57,208333,E. Can,Liverpool,2018,80
58,208333,E. Can,Juventus,2019,80
59,208333,E. Can,Borussia Dortmund,2020,82
60,208333,E. Can,Borussia Dortmund,2021,82
61,208333,E. Can,Borussia Dortmund,2022,82
62,208333,E. Can,Borussia Dortmund,2023,82
63,210514,João Cancelo,Valencia CF,2017,79
64,210514,João Cancelo,Inter,2018,79
65,210514,João Cancelo,Juventus,2019,83
66,210514,João Cancelo,Manchester City,2020,82
67,210514,João Cancelo,Manchester City,2021,83
68,210514,João Cancelo,Manchester City,2022,86
69,210514,João Cancelo,Manchester City,2023,88
70,228251,L. Pellegrini,Sassuolo,2017,77
71,228251,L. Pellegrini,Roma,2018,78
72,228251,L. Pellegrini,Roma,2019,79
73,228251,L. Pellegrini,Roma,2020,80
74,228251,L. Pellegrini,Roma,2021,79
75,228251,L. Pellegrini,Roma,2022,81
76,228251,L. Pellegrini,Roma,2023,84
77,177003,L. Modrić,Real Madrid,2017,89
78,177003,L. Modrić,Real Madrid,2018,89
79,177003,L. Modrić,Real Madrid,2019,91
80,177003,L. Modrić,Real Madrid,2020,89
81,177003,L. Modrić,Real Madrid,2021,87
82,177003,L. Modrić,Real Madrid CF,2022,87
83,177003,L. Modrić,Real Madrid CF,2023,88
84,223848,S. Milinković-Savić,Lazio,2017,79
85,223848,S. Milinković-Savić,Lazio,2018,83
86,223848,S. Milinković-Savić,Lazio,2019,85
87,223848,S. Milinković-Savić,Lazio,2020,85
88,223848,S. Milinković-Savić,Lazio,2021,85
89,223848,S. Milinković-Savić,Lazio,2022,85
90,223848,S. Milinković-Savić,Lazio,2023,86
91,225193,Merino,Borussia Dortmund,2017,75
92,225193,Merino,Newcastle United,2018,75
93,225193,Merino,Real Sociedad,2019,75
94,225193,Merino,Real Sociedad,2020,80
95,225193,Merino,Real Sociedad,2021,80
96,225193,Merino,Real Sociedad,2022,83
97,225193,Merino,Real Sociedad,2023,83
98,226161,Marcos Llorente,Deportivo Alavés,2017,77
99,226161,Marcos Llorente,Real Madrid,2018,78
100,226161,Marcos Llorente,Real Madrid,2019,79
101,226161,Marcos Llorente,Atlético Madrid,2020,81
